"Group","Category","Sequence | Parameter","Siemens","General Electric","Philips","Canon","Hitachi"
"3","inversion_recovery_sequences","phase_sensitive_inversion_recovery_tse","TrueIR; TIR","","Real IR","Real IR","Real-IR"
"4","echo_planar_sequences","apparent_diffusion_coefficient_map","ADC","ADC","ADC","ADC","ADC"
"4","echo_planar_sequences","diffusion_weighted_imaging","DWI","DWI","DWI","DWI","DWI"
"4","echo_planar_sequences","diffusion_weighted_imaging_readout_segmented","RESOLVE","PROPELLER DWI","DWI with segmented EPI","FASE DWI","RADAR DWI"
"4","echo_planar_sequences","diffusion_tensor_imaging","DTI; MDDW","DTI","DTI","DTI","DTI"
"4","echo_planar_sequences","echo_planar_imaging","EPI","EPI","EPI","EPI","EPI"
"4","echo_planar_sequences","fiber_tracking","DTI Tractography; Tractography","FiberTrak; fiber; tracking","FiberTrak; Trak","DTT","DTI Tractography"
"4","echo_planar_sequences","turbo_gradient_spin_echo","TurboGSE; TGSE","","GRASE","Hybrid EPI",""
"5","angiography_sequences","time_of_flight_non_contrast_mra","ToF","ToF; Inhance Inflow","Inflow","TOF","TOF"
"5","angiography_sequences","phase_contrast_non_contrast_mra","PC","PC; Inhance Velocity","PC","PC","PC-MRA"
"5","angiography_sequences","contrast_bolus_timing_ce_mra","Care Bolus","Smart Prep","BolusTrak","VisualPrep","FLUTE"
"5","angiography_sequences","dynamic_time_resolved_3d_spoiled_gre_ce_mra","TWIST","TRICKS; Tricks-XV","Keyhole; 4D TRAK","DRKS","TRAQ"
"5","angiography_sequences","gated_3d_t2_tse_non_contrast_mra","NATIVE SPACE","InFlow Deltaflow","TRANCE","FBI; CIA","VASC-FSE"
"5","angiography_sequences","inflow_enhanced_ssfp_3d_non_contrast_mra","NATIVE TrueFISP","InFlow IRP; Inhance Inflow IR","B-TRANCE; b TRANCE","Time-SLIP; TSA","VASC; VASC-ASL"
"6","cardiac_sequences","myocardial_dual_ir_3d_tse","DIR SPACE","CUBE DIR","Dual IR-TSE","Double IR",""
"6","cardiac_sequences","myocardial_triple_ir_3d_tse","","","Triple IR-TSE","Triple IR",""
"6","cardiac_sequences","myocardial_phase_sensitive_inversion_recovery","TFL PSIR","","bTFE SSh","",""
"6","cardiac_sequences","myocardial_t1_mapping_gre","MyoMaps","CardioMaps","T1 Mapping; StarQuant","MOLLI; SASHA; Look-Locker",""
"6","cardiac_sequences","myocardial_t1_mapping_scout","TI scout","Cine IR","","",""
"6","cardiac_sequences","myocardial_tagging_gre","SPAMM; CSPAMM; DANTE","HARP; DENSE; SENC","","",""
"7","functional_sequences","fmri_bold_2d_epi","BOLD","BOLD","BOLD","BOLD","BOLD"
"7","functional_sequences","fmri_arterial_spin_labeling","3D ASL; pCASL","3D ASL; pCASL","ASL Specialist","ASTAR","ASL Perfusion"
"7","functional_sequences","fmri_vaso_3d_grase","VASO","VASO","VASO","VASO","VASO"
"8","spectroscopy_sequences","point_resolved_spectroscopy","PRESS","PRESS","PRESS","PRESS","PRESS"
"8","spectroscopy_sequences","stimulated_echo_acquisition_mode","STEAM","STEAM","STEAM","STEAM","STEAM"
"8","spectroscopy_sequences","image_selected_in_vivo_spectroscopy","ISIS","ISIS","ISIS","ISIS","ISIS"
"8","spectroscopy_sequences","chemical_shift_imaging","CSI","PROBE CSI","Spectroscopy","CSI","CSI"
"9","scanner_parameters","slice_thickness","Slice Thickness","Slice Thickness","Slice Thickness","Slice Thickness","Slice Thickness"
"9","scanner_parameters","distance_between_slices","Distance Factor","Slice Gap","Gap","Gap","Slice Interval"
"9","scanner_parameters","rf_excitation_pulse_gre","Flip Angle; flip; FA","Flip Angle","Flip Angle","Flip Angle","Flip Angle"
"9","scanner_parameters","inversion_time","Inversion Time; TI","TI","TI","TI","TI"
"9","scanner_parameters","repetition_time","Repetition Time; TR","TR","TR","TR","TR"
"9","scanner_parameters","echo_time","Echo Time; TE","TE","TE","TE","TE"
"9","scanner_parameters","number_of_echos_tse","Turbo Factor","Echo Train Length; ETL","Turbo Factor","Echo Factor","Echo Factor"
"9","scanner_parameters","inter_echo_spacing_tse","Echo Spacing","Echo Spacing","Echo Spacing","Echo Spacing","Inter-Echo Time; IET"
"9","scanner_parameters","number_of_signal_averages","Averages","NEX","NSA","NAQ","NSA"
"9","scanner_parameters","scan_acquisition_time","Acquisition Time; TA","Acquisition Time","Acquisition Time","Acquisition Time","Scan Time"
"9","scanner_parameters","receiver_bandwidth","Bandwidth; Hz/Px","Receive Bandwidth; kHz","Fat/Water Shift; Px","Bandwidth; Hz/Px","Receiver Bandwidth; kHz"
"9","scanner_parameters","variable_bandwidth","Optimized Bandwidth","Variable Bandwidth","Optimized Bandwidth","Matched Bandwidth","Variable Bandwidth"
"9","scanner_parameters","magnetization_transfer_contrast","MTC; magnetization transfer","MTC","MTC","SORS-STC","MTC"
"9","scanner_parameters","fatsat_chemical","Fat Sat; FS","Fat Sat; Chem Sat","SPIR","MSOFT","SINC; H-SINC"
"9","scanner_parameters","fatsat_chemical_adiabatic","SPAIR","ASPIR","SPAIR","SPAIR",""
"9","scanner_parameters","field_of_view","Field of View; FOV; millimeters","Field-of-View; FOV; millimeters","FOV; centimeters","FOV; millimeters","FOV; millimeters"
"9","scanner_parameters","field_of_view_rectangular","FoV Phase; Rectangular FoV","Asymmetric FoV; Asymmetric","Rectangular FoV; Rectangular","Rectangular FoV","Rectangular-FoV"
"9","scanner_parameters","saturation_spatial","Sat Region","SAT","REST","Presat","Presat"
"9","scanner_parameters","saturation_pulse_moving","Tracking Sat; Tracking","Walking Sat; Walking","Travel REST; Travel","Moving Presat; Moving","Sequential Pre Sat"
"9","scanner_parameters","multi_slab_acquisition","Multi-Slab","MOTSA","Multi-Chunk","Multi-Slab","Multi-Slab"
"9","scanner_parameters","motion_correction_radial_kspace_filling","BLADE","PROPELLER","Multivane","JET","RADAR"
"9","scanner_parameters","radial_motion_compensation_with_pat","BLADE w/iPAT","PROPELLER w/ASSET","","","RAPID-RADAR"
"9","scanner_parameters","motion_free_breathing_3d_t1_gre","StarVibe","DISCO Star","VANE XD","QuickStar","TIGRE NAVI"
"9","scanner_parameters","parallel_imaging_technique_image_based","iPAT; mSENSE","ASSET","SENSE; dS SENSE","SPEEDER","RAPID"
"9","scanner_parameters","parallel_imaging_technique_kspace_based","GRAPPA","ARC","","","k-RAPID"
"9","scanner_parameters","off_center_shift_slice_group","Off-center Shift","Off center FoV; Off-center","Off-center FoV","Phase & Frequency Shift","Off-center FoV"
"9","scanner_parameters","simultaneous_excitation","Simultaneous Excitation","Phase Offset Multiplanar; POMP","Multi-Slice","QuadScan","Dual Slice"
"9","scanner_parameters","water_excitation","Water Excitation","Water Excitation","Proset","PASTA","Water Excitation"
"9","scanner_parameters","metal_artifact_reduction","WARP","MAVRIC","O-MAR VAT","VAT","HiMAR"
"9","scanner_parameters","phase_oversampling","Phase Oversampling","No Phase Wrap","Fold-over Suppression","Phase wrap suppression","Anti-Wrap"
"9","scanner_parameters","frequency_oversampling","Oversampling","Anti-Aliasing","Frequency Oversampling","Frequency Wrap Suppression","Frequency Oversampling"
"9","scanner_parameters","flow_compensation","Flow Comp; GMR","Flow Comp","Flow Comp; Flag","Flow Comp; FC","Rephase"
"9","scanner_parameters","partial_echo","Asymmetric Echo","Asymmetric Echo","Partial Echo","Match Bandwidth","Half Echo"
"9","scanner_parameters","half_fourier","Half Fourier; Partial Fourier","Half NEX; fractional NEX","Half Scan","AFI","Half Scan"
"9","scanner_parameters","gating_cardiac_ecg","ECG triggered","Cardiac Gated","ECG Triggered; VCG","Cardiac Gated","ECG Triggered"
"9","scanner_parameters","gating_respiratory","Respiratory Gated","Respiratory Comp","Trigger;; PEAR","Respiratory Gated","MAR"
"9","scanner_parameters","coil_sensitivity_normalization","Prescan Normalize","PURE","CLEAR","","NATURAL"
"9","scanner_parameters","quiet_scanning_3d_half_radial","PETRA","SILENZ","","mUTE 3D T1",""
"9","scanner_parameters","quiet_scanning_optimized_gradient","QuietX","Silent Scan","ComforTone","rounded gradient shapes",""
"9","scanner_parameters","quiet_scanning_reduced_slew_rates","Whisper","Acoustic Reduction Technology; ART","SofTone","Pianissimo Zen","SoftSound"
"9","scanner_parameters","parallel_multi_transmit_rf_shimming","TimTX TrueForm","MultiDrive","MultiTransmit","MultiPhase Transmit","Quartet"
"9","scanner_parameters","localizer","Localizer; Scout","Localizer","Plan Scan","Locator","Scanogram"
"9","scanner_parameters","automated_slice_positioning","AutoAlign","ReadyBrain; AIRx","SmartExam","CardioLine; NeuroLine; SpineLine","AutoPose Brain"
